2023-05-29 00:12:11 [HikariPool-1 housekeeper] WARN  : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h2m1s265ms242µs536ns).
2023-05-29 00:12:15 [http-nio-8081-exec-7] WARN  : SQL Error: 0, SQLState: null
2023-05-29 00:12:15 [http-nio-8081-exec-7] ERROR : HikariPool-1 - Interrupted during connection acquisition
2023-05-29 00:12:15 [http-nio-8081-exec-23] WARN  : SQL Error: 0, SQLState: null
2023-05-29 00:12:15 [http-nio-8081-exec-24] WARN  : SQL Error: 0, SQLState: null
2023-05-29 00:12:15 [http-nio-8081-exec-26] WARN  : SQL Error: 0, SQLState: null
2023-05-29 00:12:15 [http-nio-8081-exec-24] ERROR : HikariPool-1 - Interrupted during connection acquisition
2023-05-29 00:12:15 [http-nio-8081-exec-23] ERROR : HikariPool-1 - Interrupted during connection acquisition
2023-05-29 00:12:15 [http-nio-8081-exec-26] ERROR : HikariPool-1 - Interrupted during connection acquisition
2023-05-29 00:12:16 [SpringApplicationShutdownHook] INFO  : Closing JPA EntityManagerFactory for persistence unit 'default'
2023-05-29 00:12:16 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown initiated...
2023-05-29 00:12:16 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown completed.
2023-05-29 00:15:33 [restartedMain] INFO  : Starting ClientManagerApplication using Java 17.0.6 with PID 38306 (/home/hashicorp/javaguidance.com/spring_template_with_log_and_webpack/target/classes started by hashicorp in /home/hashicorp/javaguidance.com/spring_template_with_log_and_webpack)
2023-05-29 00:15:33 [restartedMain] INFO  : No active profile set, falling back to 1 default profile: "default"
2023-05-29 00:15:34 [restartedMain] INFO  : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-05-29 00:15:34 [restartedMain] INFO  : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-05-29 00:15:34 [restartedMain] INFO  : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-05-29 00:15:34 [restartedMain] INFO  : Finished Spring Data repository scanning in 64 ms. Found 2 JPA repository interfaces.
2023-05-29 00:15:35 [restartedMain] INFO  : Tomcat initialized with port(s): 8082 (http)
2023-05-29 00:15:35 [restartedMain] INFO  : Initializing ProtocolHandler ["http-nio-8082"]
2023-05-29 00:15:35 [restartedMain] INFO  : Starting service [Tomcat]
2023-05-29 00:15:35 [restartedMain] INFO  : Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-05-29 00:15:35 [restartedMain] INFO  : Initializing Spring embedded WebApplicationContext
2023-05-29 00:15:35 [restartedMain] INFO  : Root WebApplicationContext: initialization completed in 1690 ms
2023-05-29 00:15:35 [restartedMain] INFO  : HHH000204: Processing PersistenceUnitInfo [name: default]
2023-05-29 00:15:36 [restartedMain] INFO  : HHH000412: Hibernate ORM core version 6.1.7.Final
2023-05-29 00:15:36 [restartedMain] INFO  : HikariPool-1 - Starting...
2023-05-29 00:15:36 [restartedMain] INFO  : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5c826180
2023-05-29 00:15:36 [restartedMain] INFO  : HikariPool-1 - Start completed.
2023-05-29 00:15:36 [restartedMain] INFO  : HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2023-05-29 00:15:37 [restartedMain] INFO  : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-05-29 00:15:37 [restartedMain] INFO  : Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-05-29 00:15:37 [restartedMain] WARN  : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-05-29 00:15:38 [restartedMain] INFO  : Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@110a1abe, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6c75e03c, org.springframework.security.web.context.SecurityContextHolderFilter@e08d2b1, org.springframework.security.web.header.HeaderWriterFilter@38f8ed51, org.springframework.security.web.csrf.CsrfFilter@3a7a926e, org.springframework.security.web.authentication.logout.LogoutFilter@19b19cfc, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@7810a249, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@32390668, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@d77257e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1d066954, org.springframework.security.web.access.ExceptionTranslationFilter@22fa4ec0, org.springframework.security.web.access.intercept.AuthorizationFilter@778112b5]
2023-05-29 00:15:39 [restartedMain] INFO  : LiveReload server is running on port 35729
2023-05-29 00:15:39 [restartedMain] INFO  : Starting ProtocolHandler ["http-nio-8082"]
2023-05-29 00:15:39 [restartedMain] INFO  : Tomcat started on port(s): 8082 (http) with context path ''
2023-05-29 00:15:39 [restartedMain] INFO  : Started ClientManagerApplication in 6.255 seconds (process running for 6.772)
2023-05-29 00:15:39 [restartedMain] INFO  : Application started
